timestamp,factory_id,temperature,vibration,pressure,humidity,energy_consumption,state
2026-09-15 09:46:39.408027,F2,66.19,0.239,3.35,46.84,8.85,normal
2026-09-15 09:46:40.408027,F2,67.28,0.458,3.86,44.49,6.17,normal
2026-09-15 09:46:41.408027,F2,55.32,0.277,3.36,53.56,8.32,normal
2026-09-15 09:46:42.408027,F2,62.08,0.555,3.01,39.77,7.02,normal
2026-09-15 09:46:43.408027,F2,68.1,0.366,3.66,40.88,7.15,normal
2026-09-15 09:46:44.408027,F2,70.12,0.342,3.87,45.74,7.0,normal
2026-09-15 09:46:45.408027,F2,58.98,0.597,2.99,45.05,6.34,normal
2026-09-15 09:46:46.408027,F2,61.87,0.403,3.27,44.84,7.39,normal
2026-09-15 09:46:47.408027,F2,70.89,0.381,2.51,47.27,7.22,normal
2026-09-15 09:46:48.408027,F2,78.59,0.406,3.29,55.6,5.9,normal
2026-09-15 09:46:49.408027,F2,59.73,0.383,3.82,49.89,7.27,normal
2026-09-15 09:46:50.408027,F2,58.36,0.546,3.92,44.01,7.55,normal
2026-09-15 09:46:51.408027,F2,64.07,0.364,2.88,36.92,7.3,normal
2026-09-15 09:46:52.408027,F2,62.99,0.448,2.61,47.24,7.41,normal
2026-09-15 09:46:53.408027,F2,63.93,0.275,3.33,51.79,6.92,normal
2026-09-15 09:46:54.408027,F2,60.41,0.22,3.85,45.46,5.72,normal
2026-09-15 09:46:55.408027,F2,70.81,0.31,3.3,34.46,6.16,normal
2026-09-15 09:46:56.408027,F2,62.57,0.448,3.4,51.89,6.6,normal
2026-09-15 09:46:57.408027,F2,60.62,0.478,3.38,31.25,5.78,normal
2026-09-15 09:46:58.408027,F2,64.55,0.374,2.83,46.99,8.64,normal
2026-09-15 09:46:59.408027,F2,60.02,0.25,3.38,51.03,9.34,normal
2026-09-15 09:47:00.408027,F2,66.77,0.44,3.42,40.13,8.48,normal
2026-09-15 09:47:01.408027,F2,54.66,0.362,3.41,43.98,4.36,normal
2026-09-15 09:47:02.408027,F2,65.24,0.149,3.87,46.81,7.26,normal
2026-09-15 09:47:03.408027,F2,65.22,0.454,3.25,42.42,7.49,normal
2026-09-15 09:47:04.408027,F2,64.68,0.42,3.34,44.71,7.01,normal
2026-09-15 09:47:05.408027,F2,66.05,0.472,3.8,40.17,7.73,normal
2026-09-15 09:47:06.408027,F2,60.98,0.372,4.2,47.26,7.36,normal
2026-09-15 09:47:07.408027,F2,63.84,0.255,3.9,45.79,6.87,normal
2026-09-15 09:47:08.408027,F2,64.62,0.578,3.51,50.99,7.62,normal
2026-09-15 09:47:09.408027,F2,60.2,0.172,3.73,45.36,7.36,normal
2026-09-15 09:47:10.408027,F2,65.71,0.305,4.2,42.9,6.15,normal
2026-09-15 09:47:11.408027,F2,69.77,0.327,2.91,50.86,7.11,normal
2026-09-15 09:47:12.408027,F2,69.75,0.462,3.04,45.8,7.5,normal
2026-09-15 09:47:13.408027,F2,76.8,0.506,3.15,49.63,6.09,normal
2026-09-15 09:47:14.408027,F2,63.02,0.322,4.02,37.46,8.6,normal
2026-09-15 09:47:15.408027,F2,63.92,0.18,3.33,44.68,5.8,normal
2026-09-15 09:47:16.408027,F2,62.65,0.373,3.64,42.96,7.2,normal
2026-09-15 09:47:17.408027,F2,73.98,0.301,3.35,42.89,5.48,normal
2026-09-15 09:47:18.408027,F2,75.1,0.422,3.0,42.23,7.17,normal
2026-09-15 09:47:19.408027,F2,67.34,0.323,3.32,44.42,6.84,normal
2026-09-15 09:47:20.408027,F2,57.69,0.593,3.5,40.79,6.94,normal
2026-09-15 09:47:21.408027,F2,67.16,0.665,3.31,43.36,5.19,normal
2026-09-15 09:47:22.408027,F2,65.77,0.416,2.96,47.83,7.93,normal
2026-09-15 09:47:23.408027,F2,64.31,0.198,3.48,47.81,7.53,normal
2026-09-15 09:47:24.408027,F2,58.72,0.604,3.29,45.85,8.19,normal
2026-09-15 09:47:25.408027,F2,62.78,0.287,2.85,40.78,6.64,normal
2026-09-15 09:47:26.408027,F2,60.68,0.498,2.75,40.4,6.42,normal
2026-09-15 09:47:27.408027,F2,97.99,1.351,6.3,40.87,9.1,failure
2026-09-15 09:47:28.408027,F2,62.09,0.553,3.9,50.41,7.8,normal
2026-09-15 09:47:29.408027,F2,63.74,0.571,3.71,44.11,8.49,normal
2026-09-15 09:47:30.408027,F2,60.84,0.324,4.44,44.66,6.84,normal
2026-09-15 09:47:31.408027,F2,61.53,0.261,2.84,46.34,6.88,normal
2026-09-15 09:47:32.408027,F2,68.48,0.196,3.81,46.79,6.15,normal
2026-09-15 09:47:33.408027,F2,66.18,0.371,3.46,40.97,5.73,normal
2026-09-15 09:47:34.408027,F2,68.22,0.599,2.86,47.3,8.42,normal
2026-09-15 09:47:35.408027,F2,66.6,0.241,3.51,47.36,8.11,normal
2026-09-15 09:47:36.408027,F2,67.34,0.388,3.08,39.16,6.84,normal
2026-09-15 09:47:37.408027,F2,63.89,0.391,3.1,37.73,5.96,normal
2026-09-15 09:47:38.408027,F2,63.79,0.306,3.12,40.1,6.69,normal
2026-09-15 09:47:39.408027,F2,58.83,0.375,2.94,38.46,7.85,normal
2026-09-15 09:47:40.408027,F2,66.81,0.443,3.51,56.85,8.68,normal
2026-09-15 09:47:41.408027,F2,66.87,0.244,4.05,47.42,7.33,normal
2026-09-15 09:47:42.408027,F2,68.8,0.536,3.38,48.07,6.2,normal
2026-09-15 09:47:43.408027,F2,59.67,0.397,3.3,45.15,6.17,normal
2026-09-15 09:47:44.408027,F2,62.05,0.414,3.6,44.13,6.7,normal
2026-09-15 09:47:45.408027,F2,70.77,0.409,3.02,41.17,6.31,normal
2026-09-15 09:47:46.408027,F2,64.56,0.477,3.76,47.39,7.56,normal
2026-09-15 09:47:47.408027,F2,59.65,0.323,3.1,46.15,6.49,normal
2026-09-15 09:47:48.408027,F2,61.51,0.506,4.13,48.94,7.22,normal
2026-09-15 09:47:49.408027,F2,72.03,0.303,3.12,43.48,9.01,normal
2026-09-15 09:47:50.408027,F2,74.47,1.327,4.31,53.01,11.65,failure
2026-09-15 09:47:51.408027,F2,101.54,1.843,6.43,46.89,9.34,failure
2026-09-15 09:47:52.408027,F2,69.59,0.616,3.04,41.63,8.68,normal
2026-09-15 09:47:53.408027,F2,71.25,0.297,3.19,47.76,9.12,normal
2026-09-15 09:47:54.408027,F2,68.47,0.17,3.03,38.82,8.57,normal
2026-09-15 09:47:55.408027,F2,93.07,1.412,5.65,54.09,8.6,failure
2026-09-15 09:47:56.408027,F2,63.64,0.456,3.57,44.19,6.7,normal
2026-09-15 09:47:57.408027,F2,66.21,0.484,3.13,50.13,5.92,normal
2026-09-15 09:47:58.408027,F2,64.49,0.391,3.44,47.53,5.36,normal
2026-09-15 09:47:59.408027,F2,59.81,0.527,3.59,44.39,6.87,normal
2026-09-15 09:48:00.408027,F2,67.6,0.316,3.45,51.36,5.87,normal
2026-09-15 09:48:01.408027,F2,56.35,0.331,3.71,43.52,6.01,normal
2026-09-15 09:48:02.408027,F2,64.1,0.492,2.75,39.62,6.54,normal
2026-09-15 09:48:03.408027,F2,75.23,0.555,3.94,50.86,6.92,normal
2026-09-15 09:48:04.408027,F2,67.45,0.21,3.13,49.28,6.07,normal
2026-09-15 09:48:05.408027,F2,91.98,1.124,6.06,48.46,13.14,failure
2026-09-15 09:48:06.408027,F2,61.08,0.513,3.19,41.99,6.41,normal
2026-09-15 09:48:07.408027,F2,66.23,0.514,3.04,46.48,6.86,normal
2026-09-15 09:48:08.408027,F2,60.79,0.455,4.22,53.52,6.36,normal
2026-09-15 09:48:09.408027,F2,59.92,0.145,3.63,47.12,8.22,normal
2026-09-15 09:48:10.408027,F2,69.13,0.266,3.72,49.33,6.91,normal
2026-09-15 09:48:11.408027,F2,65.21,0.5,4.06,41.55,6.88,normal
2026-09-15 09:48:12.408027,F2,65.08,0.468,3.42,55.57,8.79,normal
2026-09-15 09:48:13.408027,F2,64.21,0.347,3.6,52.62,6.21,normal
2026-09-15 09:48:14.408027,F2,60.33,0.368,3.56,55.49,5.88,normal
2026-09-15 09:48:15.408027,F2,65.17,0.345,3.76,48.22,6.89,normal
2026-09-15 09:48:16.408027,F2,60.71,0.477,3.16,43.63,6.04,normal
2026-09-15 09:48:17.408027,F2,77.39,0.456,3.26,37.6,6.84,normal
2026-09-15 09:48:18.408027,F2,63.79,0.491,3.84,44.88,7.18,normal
2026-09-15 09:48:19.408027,F2,67.29,0.39,3.78,44.03,6.86,normal
2026-09-15 09:48:20.408027,F2,62.91,0.279,3.22,35.6,4.79,normal
2026-09-15 09:48:21.408027,F2,66.83,0.181,3.54,47.73,5.42,normal
2026-09-15 09:48:22.408027,F2,62.75,0.499,3.43,40.59,8.84,normal
2026-09-15 09:48:23.408027,F2,64.04,0.334,3.38,47.69,7.32,normal
2026-09-15 09:48:24.408027,F2,69.25,0.478,3.34,49.46,7.76,normal
2026-09-15 09:48:25.408027,F2,70.56,0.586,4.01,41.49,7.82,normal
2026-09-15 09:48:26.408027,F2,66.05,0.266,4.19,50.57,6.33,normal
2026-09-15 09:48:27.408027,F2,69.89,0.449,3.31,42.04,8.12,normal
2026-09-15 09:48:28.408027,F2,61.19,0.39,3.89,50.84,8.08,normal
2026-09-15 09:48:29.408027,F2,63.95,0.325,3.74,42.36,8.09,normal
2026-09-15 09:48:30.408027,F2,62.55,0.634,3.87,51.7,7.12,normal
2026-09-15 09:48:31.408027,F2,57.07,0.248,2.68,40.18,6.08,normal
2026-09-15 09:48:32.408027,F2,68.41,0.328,2.86,41.52,4.89,normal
2026-09-15 09:48:33.408027,F2,63.42,0.51,3.25,46.26,6.6,normal
2026-09-15 09:48:34.408027,F2,67.18,0.586,3.63,48.8,5.78,normal
2026-09-15 09:48:35.408027,F2,63.91,0.329,3.42,37.71,5.9,normal
2026-09-15 09:48:36.408027,F2,59.91,0.461,3.53,41.45,6.74,normal
2026-09-15 09:48:37.408027,F2,64.24,0.468,3.71,43.1,4.81,normal
2026-09-15 09:48:38.408027,F2,61.55,0.273,3.71,44.17,6.52,normal
2026-09-15 09:48:39.408027,F2,63.89,0.307,2.78,37.13,6.48,normal
2026-09-15 09:48:40.408027,F2,60.75,0.591,4.17,46.81,7.82,normal
2026-09-15 09:48:41.408027,F2,61.08,0.613,3.77,50.97,6.48,normal
2026-09-15 09:48:42.408027,F2,53.09,0.446,4.11,42.95,6.7,normal
2026-09-15 09:48:43.408027,F2,60.86,0.528,2.92,47.5,5.92,normal
2026-09-15 09:48:44.408027,F2,68.53,0.357,3.78,44.46,5.51,normal
2026-09-15 09:48:45.408027,F2,74.16,1.408,6.34,47.12,10.08,failure
2026-09-15 09:48:46.408027,F2,60.56,0.108,3.48,49.24,6.0,normal
2026-09-15 09:48:47.408027,F2,66.85,0.256,3.19,42.57,5.46,normal
2026-09-15 09:48:48.408027,F2,69.14,0.467,3.69,41.9,6.08,normal
2026-09-15 09:48:49.408027,F2,69.17,0.43,4.12,34.95,6.02,normal
2026-09-15 09:48:50.408027,F2,66.71,0.34,3.09,49.73,6.86,normal
2026-09-15 09:48:51.408027,F2,63.79,0.343,3.52,45.13,6.25,normal
2026-09-15 09:48:52.408027,F2,64.09,0.349,3.46,39.92,5.08,normal
2026-09-15 09:48:53.408027,F2,62.24,0.242,3.66,48.71,7.22,normal
2026-09-15 09:48:54.408027,F2,62.53,0.411,3.13,39.46,7.97,normal
2026-09-15 09:48:55.408027,F2,73.27,0.354,3.75,48.21,9.4,normal
2026-09-15 09:48:56.408027,F2,68.15,0.543,3.96,43.36,5.94,normal
2026-09-15 09:48:57.408027,F2,75.24,0.489,3.41,46.86,7.24,normal
2026-09-15 09:48:58.408027,F2,69.61,0.454,3.81,37.9,7.9,normal
2026-09-15 09:48:59.408027,F2,68.58,0.476,4.06,43.12,6.45,normal
2026-09-15 09:49:00.408027,F2,62.48,0.392,2.56,43.97,6.72,normal
2026-09-15 09:49:01.408027,F2,58.18,0.433,3.31,44.15,6.43,normal
2026-09-15 09:49:02.408027,F2,69.94,0.163,4.54,47.47,7.41,normal
2026-09-15 09:49:03.408027,F2,58.34,0.105,2.89,40.88,7.57,normal
2026-09-15 09:49:04.408027,F2,60.05,0.481,3.68,43.29,5.19,normal
2026-09-15 09:49:05.408027,F2,71.95,0.487,3.31,48.07,8.92,normal
2026-09-15 09:49:06.408027,F2,62.2,0.309,2.81,50.62,7.52,normal
2026-09-15 09:49:07.408027,F2,96.8,1.061,4.63,54.75,9.74,failure
2026-09-15 09:49:08.408027,F2,61.25,0.719,2.89,46.97,6.05,normal
2026-09-15 09:49:09.408027,F2,62.34,0.364,3.39,45.78,7.37,normal
2026-09-15 09:49:10.408027,F2,68.83,0.37,3.45,54.33,7.03,normal
2026-09-15 09:49:11.408027,F2,70.16,0.14,2.86,41.69,7.55,normal
2026-09-15 09:49:12.408027,F2,58.79,0.331,2.62,43.46,5.67,normal
2026-09-15 09:49:13.408027,F2,66.75,0.583,3.62,46.05,7.01,normal
2026-09-15 09:49:14.408027,F2,91.24,1.188,6.32,53.19,9.09,failure
2026-09-15 09:49:15.408027,F2,65.48,0.254,3.2,41.89,6.02,normal
2026-09-15 09:49:16.408027,F2,63.29,0.657,3.07,42.0,8.86,normal
2026-09-15 09:49:17.408027,F2,60.44,0.432,4.04,46.11,6.6,normal
2026-09-15 09:49:18.408027,F2,62.2,0.376,3.49,47.43,8.24,normal
2026-09-15 09:49:19.408027,F2,59.85,0.316,3.04,53.28,6.99,normal
2026-09-15 09:49:20.408027,F2,67.52,0.579,4.0,48.22,7.66,normal
2026-09-15 09:49:21.408027,F2,63.94,0.536,3.11,41.76,7.03,normal
2026-09-15 09:49:22.408027,F2,56.17,0.387,3.86,46.92,7.19,normal
2026-09-15 09:49:23.408027,F2,103.12,1.881,6.34,48.34,12.0,failure
2026-09-15 09:49:24.408027,F2,59.2,0.515,2.65,41.93,7.32,normal
2026-09-15 09:49:25.408027,F2,73.44,0.346,3.47,47.1,6.26,normal
2026-09-15 09:49:26.408027,F2,55.65,0.436,3.33,40.5,6.15,normal
2026-09-15 09:49:27.408027,F2,60.75,0.304,3.64,52.33,4.85,normal
2026-09-15 09:49:28.408027,F2,66.73,0.54,3.19,46.24,7.6,normal
2026-09-15 09:49:29.408027,F2,88.13,0.951,6.12,46.22,10.26,failure
2026-09-15 09:49:30.408027,F2,69.49,0.557,2.88,35.82,9.65,normal
2026-09-15 09:49:31.408027,F2,61.42,0.296,2.81,43.67,8.09,normal
2026-09-15 09:49:32.408027,F2,66.53,0.277,3.67,44.27,6.74,normal
2026-09-15 09:49:33.408027,F2,69.61,0.4,3.76,45.86,8.18,normal
2026-09-15 09:49:34.408027,F2,62.94,0.488,3.51,55.26,8.16,normal
2026-09-15 09:49:35.408027,F2,58.94,0.272,3.36,42.35,8.52,normal
2026-09-15 09:49:36.408027,F2,62.94,0.244,3.87,39.21,8.75,normal
2026-09-15 09:49:37.408027,F2,61.46,0.218,3.47,43.35,6.49,normal
2026-09-15 09:49:38.408027,F2,58.21,0.449,4.22,41.78,8.47,normal
2026-09-15 09:49:39.408027,F2,64.55,0.602,4.17,43.25,5.59,normal
2026-09-15 09:49:40.408027,F2,59.32,0.284,3.54,39.68,6.96,normal
2026-09-15 09:49:41.408027,F2,69.37,0.394,3.92,38.31,6.96,normal
2026-09-15 09:49:42.408027,F2,66.0,0.221,3.42,37.11,8.16,normal
2026-09-15 09:49:43.408027,F2,58.38,0.276,3.08,47.34,6.34,normal
2026-09-15 09:49:44.408027,F2,69.37,0.474,3.42,46.06,6.54,normal
2026-09-15 09:49:45.408027,F2,64.04,0.449,3.94,40.38,6.09,normal
